,DICE_min,h,w,IOU_min,Tissue_name
70,0.9150406611645236,6,4,0.8433870546214827,GCA019TIA_TISSUE01
59,0.9106226661404414,5,4,0.8359111557004709,GCA019TIA_TISSUE01
47,0.8839337090527708,4,3,0.7920082491717919,GCA019TIA_TISSUE01
58,0.8818766252982994,5,3,0.7887113759101686,GCA019TIA_TISSUE01
48,0.8684483346437244,4,4,0.7674844739592941,GCA019TIA_TISSUE01
69,0.8665799251692754,6,3,0.7645708280742234,GCA019TIA_TISSUE01
46,0.8650328448711471,4,2,0.7621655313654779,GCA019TIA_TISSUE01
30,0.862345373019986,2,8,0.7580027827154747,GCA019TIA_TISSUE01
71,0.8549858776091251,6,5,0.7467033470502974,GCA019TIA_TISSUE01
34,0.8525071513158962,3,1,0.7429302520652005,GCA019TIA_TISSUE01
57,0.8465760259448671,5,2,0.7339677733318914,GCA019TIA_TISSUE01
35,0.8367999554225111,3,2,0.7193947071472674,GCA019TIA_TISSUE01
29,0.8357437654183864,2,7,0.7178349066077525,GCA019TIA_TISSUE01
82,0.8351063174114022,7,5,0.716894880531629,GCA019TIA_TISSUE01
51,0.8280436609971416,4,7,0.7065482163795198,GCA019TIA_TISSUE01
36,0.8278842286468138,3,3,0.706316089997694,GCA019TIA_TISSUE01
40,0.819916530327172,3,7,0.6947953694788129,GCA019TIA_TISSUE01
41,0.8033178207055292,3,8,0.6712875269682232,GCA019TIA_TISSUE01
20,0.7682312237123228,1,9,0.6236813584669919,GCA019TIA_TISSUE01
21,0.7434988548675932,1,10,0.5917215895487665,GCA019TIA_TISSUE01
31,0.738835413592086,2,9,0.5858358389973974,GCA019TIA_TISSUE01
49,0.9239268386723645,6,1,0.8586096855463282,GCA019TIA_TISSUE02
41,0.9188637722853937,5,1,0.8499056351369918,GCA019TIA_TISSUE02
58,0.916424548402271,7,2,0.84574133444146,GCA019TIA_TISSUE02
34,0.9131465528536813,4,2,0.8401745012184223,GCA019TIA_TISSUE02
66,0.912873650877862,8,2,0.8397125611158387,GCA019TIA_TISSUE02
26,0.9127673865964737,3,2,0.839532750713853,GCA019TIA_TISSUE02
42,0.9087436939346686,5,2,0.8327500046357248,GCA019TIA_TISSUE02
57,0.9030145752849057,7,1,0.8231782801666977,GCA019TIA_TISSUE02
67,0.9027055942344056,8,3,0.8226649014988625,GCA019TIA_TISSUE02
50,0.8956572349043792,6,2,0.8110319216215698,GCA019TIA_TISSUE02
54,0.8834378297845925,6,6,0.7912123958258046,GCA019TIA_TISSUE02
61,0.8812826581756232,7,5,0.7877616849475572,GCA019TIA_TISSUE02
33,0.8781164998609662,4,1,0.782716297861714,GCA019TIA_TISSUE02
62,0.8777876620526871,7,6,0.7821939149753838,GCA019TIA_TISSUE02
40,0.8769531996394266,5,0,0.7808696835767358,GCA019TIA_TISSUE02
11,0.8762423468346696,1,3,0.7797431629199808,GCA019TIA_TISSUE02
12,0.8722702878782733,1,4,0.7734745998996264,GCA019TIA_TISSUE02
69,0.8722407366670298,8,5,0.7734281287029441,GCA019TIA_TISSUE02
27,0.8692849411539041,3,3,0.7687922207748932,GCA019TIA_TISSUE02
59,0.8682910417160727,7,3,0.7672388164468632,GCA019TIA_TISSUE02
21,0.8577356973326488,2,5,0.7509082576858199,GCA019TIA_TISSUE02
18,0.8520319775305473,2,2,0.7422088079576448,GCA019TIA_TISSUE02
65,0.846508150957207,8,1,0.7338657413658088,GCA019TIA_TISSUE02
19,0.8345753662424888,2,3,0.7161126872285919,GCA019TIA_TISSUE02
22,0.8315602655509978,2,6,0.7116843436885809,GCA019TIA_TISSUE02
35,0.8296222810111699,4,3,0.7088500298245063,GCA019TIA_TISSUE02
38,0.8270653613776615,4,6,0.7051248502210531,GCA019TIA_TISSUE02
20,0.813697545949935,2,4,0.6859106993936935,GCA019TIA_TISSUE02
46,0.8066625715398675,5,6,0.6759719022479457,GCA019TIA_TISSUE02
51,0.8015980885070573,6,3,0.6688891938668924,GCA019TIA_TISSUE02
39,0.799082072331475,4,7,0.6653927416029349,GCA019TIA_TISSUE02
13,0.7963583749248102,1,5,0.6616241565051082,GCA019TIA_TISSUE02
76,0.7947205824763949,9,4,0.6593662605715496,GCA019TIA_TISSUE02
74,0.7923927113412327,9,2,0.6561675461741425,GCA019TIA_TISSUE02
55,0.7892222986586629,6,7,0.6518308833936551,GCA019TIA_TISSUE02
30,0.7825237210820388,3,6,0.6427424785454638,GCA019TIA_TISSUE02
43,0.7792592660554667,5,3,0.63834952368426,GCA019TIA_TISSUE02
70,0.7782965288595264,8,6,0.6370584575101338,GCA019TIA_TISSUE02
4,0.7675524775420243,0,4,0.6227871479762713,GCA019TIA_TISSUE02
77,0.7529248335365282,9,5,0.6037525674348212,GCA019TIA_TISSUE02
47,0.7477922784482587,5,7,0.5971790986255788,GCA019TIA_TISSUE02
28,0.7220139964768709,3,4,0.5649623661655414,GCA019TIA_TISSUE02
10,0.9380472620909504,1,1,0.8833229847289955,GCA054ACB_TISSUE01
43,0.9277942982411627,4,7,0.8653137142613742,GCA054ACB_TISSUE01
52,0.9227294013064425,5,7,0.8565437527260724,GCA054ACB_TISSUE01
53,0.9183846909629089,5,8,0.8490862539478122,GCA054ACB_TISSUE01
19,0.916837737198534,2,1,0.8464454206770885,GCA054ACB_TISSUE01
11,0.9128499731700388,1,2,0.839672492886592,GCA054ACB_TISSUE01
1,0.9118878046265347,0,1,0.8380457534652975,GCA054ACB_TISSUE01
61,0.911063609275813,6,7,0.8366545714115757,GCA054ACB_TISSUE01
13,0.9082780003884696,1,4,0.8319682123394637,GCA054ACB_TISSUE01
2,0.9063575102248038,0,2,0.8287511857838572,GCA054ACB_TISSUE01
44,0.8978148344215047,4,8,0.8145771350046029,GCA054ACB_TISSUE01
9,0.8977102891884441,1,0,0.8144050337977925,GCA054ACB_TISSUE01
23,0.895502301814136,2,5,0.8107778796506298,GCA054ACB_TISSUE01
12,0.8905872740699617,1,3,0.8027555960504854,GCA054ACB_TISSUE01
60,0.8887807370612207,6,6,0.7998248110914782,GCA054ACB_TISSUE01
0,0.8798785145872187,0,0,0.7855206118673551,GCA054ACB_TISSUE01
34,0.8741589789831449,3,7,0.7764497497112053,GCA054ACB_TISSUE01
20,0.8672143228922107,2,2,0.7655590465324108,GCA054ACB_TISSUE01
41,0.8603436474230333,4,5,0.7549149754464515,GCA054ACB_TISSUE01
24,0.8417880193272266,2,6,0.7267996130019783,GCA054ACB_TISSUE01
50,0.8255467695385382,5,5,0.7029200892181696,GCA054ACB_TISSUE01
29,0.8252827723725376,3,2,0.7025373876905967,GCA054ACB_TISSUE01
62,0.8213699709702345,6,8,0.6968853251145966,GCA054ACB_TISSUE01
31,0.7448545139912279,3,4,0.5934407782159066,GCA054ACB_TISSUE01
1,0.8816275269337852,0,1,0.788312971005669,GCA054ACB_TISSUE02
0,0.8421254751104488,0,0,0.7273028786869445,GCA054ACB_TISSUE02
0,0.8678802031805517,0,0,0.7665974975605538,GCA054ACB_TISSUE03
3,0.9104972981215512,1,1,0.8356998991849508,GCA054ACB_TISSUE04
4,0.8933688191061464,2,0,0.8072868671426284,GCA054ACB_TISSUE04
1,0.8909332415014513,0,1,0.8033179559971612,GCA054ACB_TISSUE04
6,0.8658168897682921,3,0,0.7633836917139508,GCA054ACB_TISSUE04
5,0.8655521520170292,2,1,0.7629721838301923,GCA054ACB_TISSUE04
8,0.8462830974659072,4,0,0.7335275192788461,GCA054ACB_TISSUE04
1,0.8297033098953868,0,1,0.708968347010551,GCA054TIA_TISSUE01
3,0.7953223507169702,1,1,0.6601951577588498,GCA054TIA_TISSUE01
5,0.7822366487462189,2,1,0.642355222745738,GCA054TIA_TISSUE01
4,0.7666286425386291,2,0,0.6215716279617267,GCA054TIA_TISSUE01
11,0.9431549911599211,1,3,0.892425079619824,GCA054TIA_TISSUE02
12,0.9389759348056099,1,4,0.884971383409273,GCA054TIA_TISSUE02
29,0.9354244805791816,3,5,0.8786830652353331,GCA054TIA_TISSUE02
20,0.9351903379608044,2,4,0.8782699587547319,GCA054TIA_TISSUE02
19,0.9320125238383558,2,3,0.872681135913706,GCA054TIA_TISSUE02
36,0.9273795249823611,4,4,0.8645924132364811,GCA054TIA_TISSUE02
10,0.9202140596415909,1,2,0.8522189678966812,GCA054TIA_TISSUE02
54,0.9162734448503175,6,6,0.8454839834793597,GCA054TIA_TISSUE02
9,0.9155224414131404,1,1,0.8442059811787365,GCA054TIA_TISSUE02
26,0.9107596003251324,3,2,0.8361419578239929,GCA054TIA_TISSUE02
34,0.9104292426801331,4,2,0.8355852399339468,GCA054TIA_TISSUE02
27,0.9090510542748506,3,3,0.8332663575476559,GCA054TIA_TISSUE02
18,0.9055873842650294,2,2,0.8274643139570055,GCA054TIA_TISSUE02
2,0.9036550940352678,0,2,0.8242434375522488,GCA054TIA_TISSUE02
46,0.9022448549253463,5,6,0.821899909987658,GCA054TIA_TISSUE02
30,0.9015011814331715,3,6,0.8206665006789241,GCA054TIA_TISSUE02
17,0.9012021701727673,2,1,0.820171050314566,GCA054TIA_TISSUE02
45,0.9006284890187376,5,5,0.8192212368818496,GCA054TIA_TISSUE02
28,0.8959708538549715,3,4,0.8115463771798596,GCA054TIA_TISSUE02
47,0.8901744519173134,5,7,0.8020850244934096,GCA054TIA_TISSUE02
25,0.8897162317616979,3,1,0.8013412941931226,GCA054TIA_TISSUE02
55,0.886770768913626,6,7,0.7965751744124142,GCA054TIA_TISSUE02
35,0.8820300972613551,4,3,0.7889569254956527,GCA054TIA_TISSUE02
33,0.8780204345448217,4,1,0.7825636594269129,GCA054TIA_TISSUE02
21,0.8761543811624335,2,5,0.7796038588188573,GCA054TIA_TISSUE02
37,0.8739325117531801,4,5,0.7760924819113727,GCA054TIA_TISSUE02
3,0.8649162261216015,0,3,0.7619844861021332,GCA054TIA_TISSUE02
1,0.8476736466022137,0,1,0.7356194224862914,GCA054TIA_TISSUE02
16,0.833212102517502,2,0,0.7141075977178624,GCA054TIA_TISSUE02
39,0.8255633364022729,4,7,0.7029441109861743,GCA054TIA_TISSUE02
8,0.8213094390710268,1,0,0.696798181215365,GCA054TIA_TISSUE02
24,0.8195583482621103,3,0,0.6942811167799157,GCA054TIA_TISSUE02
0,0.7927904482862284,0,0,0.6567132004222233,GCA054TIA_TISSUE02
22,0.7656221023211975,2,6,0.6202493610432581,GCA054TIA_TISSUE02
58,0.8745872651475306,5,8,0.7771257939978621,GCA062ACA_TISSUE01
55,0.8720515000607312,5,5,0.7731305995864921,GCA062ACA_TISSUE01
68,0.8654788774838713,6,8,0.7628583199618371,GCA062ACA_TISSUE01
36,0.8577687933798708,3,6,0.7509589900962478,GCA062ACA_TISSUE01
25,0.8057983623245507,2,5,0.6747590498142862,GCA062ACA_TISSUE01
66,0.7858273731973295,6,6,0.6472122298347972,GCA062ACA_TISSUE01
47,0.75949290408995,4,7,0.6122439013803281,GCA062ACA_TISSUE01
67,0.7592158369741647,6,7,0.6118838873013215,GCA062ACA_TISSUE01
48,0.7508494716668117,4,8,0.6010880631565776,GCA062ACA_TISSUE01
56,0.7396568511658188,5,6,0.5868694187372718,GCA062ACA_TISSUE01
24,0.7379317108252562,2,4,0.5847003027924771,GCA062ACA_TISSUE01
57,0.6685506716700897,5,7,0.5021225047360078,GCA062ACA_TISSUE01
35,0.629223343571742,3,5,0.45902688860435337,GCA062ACA_TISSUE01
15,0.9037917385170089,1,6,0.8244708330279559,GCA062ACA_TISSUE02
13,0.8696615126984788,1,4,0.769381492772699,GCA062ACA_TISSUE02
28,0.8611577041422748,3,1,0.756169407541796,GCA062ACA_TISSUE02
24,0.8520012232097187,2,6,0.7421621350432537,GCA062ACA_TISSUE02
22,0.8405181856324407,2,4,0.7249084679184057,GCA062ACA_TISSUE02
25,0.7913110342176086,2,7,0.6546854125580508,GCA062ACA_TISSUE02
6,0.7878243474475162,0,6,0.6499258962911776,GCA062ACA_TISSUE02
14,0.7536169883077379,1,5,0.6046431804975608,GCA062ACA_TISSUE02
16,0.7489311462378978,1,7,0.5986330360521558,GCA062ACA_TISSUE02
11,0.9208780785256954,2,3,0.8533586985867033,GCA062TIA_TISSUE01
7,0.911310093376996,1,3,0.8370703979462611,GCA062TIA_TISSUE01
6,0.9065383534223678,1,2,0.8290536355433171,GCA062TIA_TISSUE01
22,0.9004778763751291,5,2,0.818972039786213,GCA062TIA_TISSUE01
18,0.8867315709569367,4,2,0.796511917363136,GCA062TIA_TISSUE01
5,0.8783022433458108,1,1,0.7830115003221715,GCA062TIA_TISSUE01
10,0.873518436441102,2,2,0.7754396207616497,GCA062TIA_TISSUE01
1,0.8649301464676133,0,1,0.7620060948459808,GCA062TIA_TISSUE01
13,0.7999491173021642,3,1,0.6665959992494633,GCA062TIA_TISSUE01
17,0.7548780024564113,4,1,0.6062683045883501,GCA062TIA_TISSUE01
3,0.8987556491359565,1,0,0.8161273639504139,GCA062TIA_TISSUE02
4,0.8498844399844863,1,1,0.738955692394095,GCA062TIA_TISSUE02
0,0.7377496049207197,0,0,0.5844716767740704,GCA062TIA_TISSUE02
34,0.9420110100263336,5,4,0.8903788403788404,GCA062TIA_TISSUE03
10,0.9393880574143127,1,4,0.8857038278525882,GCA062TIA_TISSUE03
56,0.937564376770483,9,2,0.8824669996668042,GCA062TIA_TISSUE03
21,0.9368264270396318,3,3,0.8811603776334214,GCA062TIA_TISSUE03
28,0.9362316558569366,4,4,0.8801085885020707,GCA062TIA_TISSUE03
49,0.9352533409064491,8,1,0.8783810993148894,GCA062TIA_TISSUE03
50,0.9323987451984085,8,2,0.87335860744346,GCA062TIA_TISSUE03
29,0.930706493369099,4,5,0.8703938512649741,GCA062TIA_TISSUE03
23,0.92901201760587,3,5,0.8674345864545733,GCA062TIA_TISSUE03
11,0.9274368033303207,1,5,0.8646919885094159,GCA062TIA_TISSUE03
44,0.9259732233558421,7,2,0.8621509663372495,GCA062TIA_TISSUE03
45,0.9259454450970203,7,3,0.862102805551308,GCA062TIA_TISSUE03
26,0.9235702571048573,4,2,0.8579939965434644,GCA062TIA_TISSUE03
39,0.9214269672994797,6,3,0.8543018779103165,GCA062TIA_TISSUE03
17,0.9206731983893142,2,5,0.8530068900497866,GCA062TIA_TISSUE03
57,0.9203200712085965,9,3,0.852400833494057,GCA062TIA_TISSUE03
16,0.9196654392970778,2,4,0.8512783657487505,GCA062TIA_TISSUE03
35,0.9148192772315575,5,5,0.8430109916602002,GCA062TIA_TISSUE03
15,0.913576763707149,2,3,0.8409031887282735,GCA062TIA_TISSUE03
9,0.9125542116471757,1,3,0.8391721421161046,GCA062TIA_TISSUE03
22,0.9086018714039404,3,4,0.8325118465914335,GCA062TIA_TISSUE03
32,0.907928465215294,5,2,0.8313818612571799,GCA062TIA_TISSUE03
51,0.9073524933734164,8,3,0.8304164772907935,GCA062TIA_TISSUE03
46,0.9026676482586902,7,4,0.8226018733761794,GCA062TIA_TISSUE03
27,0.9002628556492327,4,3,0.8186163941754511,GCA062TIA_TISSUE03
43,0.899424773592507,7,1,0.8172315276697778,GCA062TIA_TISSUE03
20,0.8895937455289699,3,2,0.8011425925845043,GCA062TIA_TISSUE03
5,0.885994713668693,0,5,0.795323616987933,GCA062TIA_TISSUE03
33,0.8761741608192953,5,3,0.7796351803568129,GCA062TIA_TISSUE03
38,0.8743864176058915,6,2,0.7768086946375747,GCA062TIA_TISSUE03
31,0.8564991112100753,5,1,0.7490148189709231,GCA062TIA_TISSUE03
52,0.8543238594884867,8,4,0.7456940310435846,GCA062TIA_TISSUE03
55,0.830789559887404,9,1,0.7105560567928202,GCA062TIA_TISSUE03
38,0.899357584338608,5,3,0.8171205938835012,GCA066ACB_TISSUE01
31,0.8891117653858446,4,3,0.8003611323641928,GCA066ACB_TISSUE01
19,0.8707107729169972,2,5,0.77102548402598,GCA066ACB_TISSUE01
48,0.8495030202989705,6,6,0.7383791833332096,GCA066ACB_TISSUE01
32,0.847969666395771,4,4,0.7360653983327181,GCA066ACB_TISSUE01
55,0.840851561138132,7,6,0.7254045581631788,GCA066ACB_TISSUE01
30,0.8405697420520418,4,2,0.7249851694743087,GCA066ACB_TISSUE01
62,0.8341575671459681,8,6,0.7154976896010853,GCA066ACB_TISSUE01
34,0.8279735908071665,4,6,0.7064461895337206,GCA066ACB_TISSUE01
75,0.8251469786418949,10,5,0.7023406023061868,GCA066ACB_TISSUE01
37,0.7853775248346616,5,2,0.6466021672518067,GCA066ACB_TISSUE01
41,0.7556803997248479,5,6,0.6073041038313203,GCA066ACB_TISSUE01
69,0.7394942784598797,9,6,0.5866647535374495,GCA066ACB_TISSUE01
12,0.7264349994295604,1,5,0.5703949143578729,GCA066ACB_TISSUE01
68,0.7185299599878398,9,5,0.5607075761061269,GCA066ACB_TISSUE01
16,0.7102784119236926,2,2,0.5507222787385554,GCA066ACB_TISSUE01
29,0.7085342631748152,4,1,0.5486279991574594,GCA066ACB_TISSUE01
40,0.676924169591002,5,5,0.5116291553612212,GCA066ACB_TISSUE01
22,0.6674073260288641,3,1,0.5008337049009772,GCA066ACB_TISSUE01
9,0.5019859984942756,1,2,0.3351010057247168,GCA066ACB_TISSUE01
35,0.0017898221707358586,5,0,0.0008957126685643319,GCA066ACB_TISSUE01
40,0.8952580236949352,5,5,0.8103774844233107,GCA066ACB_TISSUE02
45,0.8709649383071247,6,3,0.771424172603816,GCA066ACB_TISSUE02
48,0.858305078339693,6,6,0.7517814628548097,GCA066ACB_TISSUE02
26,0.8387351751370308,3,5,0.7222600367973796,GCA066ACB_TISSUE02
64,0.8254960622704628,9,1,0.7028465684553172,GCA066ACB_TISSUE02
78,0.8233181129342079,11,1,0.6996947280180011,GCA066ACB_TISSUE02
71,0.8230540113843682,10,1,0.6993133239295674,GCA066ACB_TISSUE02
76,0.8193492430122409,10,6,0.6939810423724954,GCA066ACB_TISSUE02
44,0.8160478344037801,6,2,0.6892574363364006,GCA066ACB_TISSUE02
77,0.7911293238519947,11,0,0.6544366899302094,GCA066ACB_TISSUE02
41,0.7910254756992205,5,6,0.6542945775939462,GCA066ACB_TISSUE02
80,0.7892573973308382,11,3,0.6518787689397139,GCA066ACB_TISSUE02
87,0.7887308108992048,12,3,0.6511606321669353,GCA066ACB_TISSUE02
47,0.7886799684191969,6,5,0.6510913283502375,GCA066ACB_TISSUE02
29,0.7864464351127244,4,1,0.6480525111273318,GCA066ACB_TISSUE02
33,0.7850778751727406,4,5,0.6461960475733085,GCA066ACB_TISSUE02
15,0.7812985662535533,2,1,0.6410910372458822,GCA066ACB_TISSUE02
70,0.7785098314523651,10,0,0.6373443286719384,GCA066ACB_TISSUE02
54,0.7764676268317745,7,5,0.6346114282380468,GCA066ACB_TISSUE02
79,0.7735335127059281,11,2,0.6307008962083908,GCA066ACB_TISSUE02
75,0.7723138747884941,10,5,0.6290808855198553,GCA066ACB_TISSUE02
86,0.771863961450925,12,2,0.6284840907061144,GCA066ACB_TISSUE02
8,0.7709155453617115,1,1,0.627227480139749,GCA066ACB_TISSUE02
85,0.7665445984828668,12,1,0.6214611387975825,GCA066ACB_TISSUE02
46,0.7664485984768548,6,4,0.621334950072183,GCA066ACB_TISSUE02
16,0.7589255679316245,2,2,0.6115068913850706,GCA066ACB_TISSUE02
55,0.73208048119547,7,6,0.57738718454758,GCA066ACB_TISSUE02
22,0.7260691433305906,3,1,0.5699439177011855,GCA066ACB_TISSUE02
81,0.7250082331631813,11,4,0.5686375802738594,GCA066ACB_TISSUE02
53,0.7248836875200301,7,4,0.568484365249948,GCA066ACB_TISSUE02
73,0.6876249869681834,10,3,0.5239546472160035,GCA066ACB_TISSUE02
23,0.6835343476681869,3,2,0.5192192796351842,GCA066ACB_TISSUE02
25,0.6521182854255927,3,4,0.48380972779313836,GCA066ACB_TISSUE02
59,0.5719060119085729,8,3,0.40046804809597675,GCA066ACB_TISSUE02
72,0.5142323337666381,10,2,0.3461054816667886,GCA066ACB_TISSUE02
38,0.45196497681948206,5,3,0.2919604337445135,GCA066ACB_TISSUE02
9,0.4317026047287037,1,2,0.27526832986547456,GCA066ACB_TISSUE02
60,0.2699009862087934,8,4,0.15600320216202712,GCA066ACB_TISSUE02
82,0.8958474487652361,7,5,0.8113439105524124,GCA066TIB_TISSUE02
57,0.8773061206570877,5,2,0.7814295034462604,GCA066TIB_TISSUE02
62,0.8683952379079606,5,7,0.7674015407133197,GCA066TIB_TISSUE02
58,0.8618077316047198,5,3,0.7571723649289669,GCA066TIB_TISSUE02
59,0.851166610816529,5,4,0.7408964770962067,GCA066TIB_TISSUE02
50,0.8405365746288733,4,6,0.7249358248276182,GCA066TIB_TISSUE02
46,0.8355101153545987,4,2,0.7174902301611832,GCA066TIB_TISSUE02
61,0.8345444659985636,5,6,0.7160671871652333,GCA066TIB_TISSUE02
60,0.8226259631167492,5,5,0.6986955184559767,GCA066TIB_TISSUE02
17,0.8201686069851465,1,6,0.6951574706698969,GCA066TIB_TISSUE02
56,0.8144096332257837,5,1,0.6869232882193955,GCA066TIB_TISSUE02
15,0.8096089651883643,1,4,0.6801201802704057,GCA066TIB_TISSUE02
18,0.7874747814232671,1,7,0.6494502294538733,GCA066TIB_TISSUE02
47,0.7865281646529337,4,3,0.6481635104682738,GCA066TIB_TISSUE02
49,0.7770201170153082,4,5,0.6353498760085772,GCA066TIB_TISSUE02
51,0.7594789658712173,4,7,0.6122257865660449,GCA066TIB_TISSUE02
63,0.7572935836993262,5,8,0.6093905799196409,GCA066TIB_TISSUE02
68,0.7499617506561234,6,2,0.5999510423379166,GCA066TIB_TISSUE02
118,0.7462431807284143,10,8,0.5952056804460458,GCA066TIB_TISSUE02
16,0.7361666800567741,1,5,0.5824871590581614,GCA066TIB_TISSUE02
48,0.7323355510626293,4,4,0.5777045744846083,GCA066TIB_TISSUE02
69,0.7052389232292317,6,3,0.5446865339728552,GCA066TIB_TISSUE02
19,0.6888450583829346,1,8,0.5253727355314487,GCA066TIB_TISSUE02
74,0.6761807679238871,6,8,0.5107802874743327,GCA066TIB_TISSUE02
83,0.6289969382740938,7,6,0.45878594718984234,GCA066TIB_TISSUE02
71,0.6078501792442358,6,5,0.43662698524376403,GCA066TIB_TISSUE02
52,0.576852473199381,4,8,0.4053356818854925,GCA066TIB_TISSUE02
80,0.040093538776948455,7,3,0.020456863411700096,GCA066TIB_TISSUE02
22,0.9360737069931439,4,2,0.879829470467943,GCA069ACB_TISSUE01
17,0.9286200675329416,3,2,0.8667514103933376,GCA069ACB_TISSUE01
27,0.9256664632010224,5,2,0.8616192564918759,GCA069ACB_TISSUE01
13,0.9193067079426216,2,3,0.8506638420901866,GCA069ACB_TISSUE01
12,0.9033721554702341,2,2,0.823772768470602,GCA069ACB_TISSUE01
23,0.9032886354323947,4,3,0.8236338790822411,GCA069ACB_TISSUE01
19,0.9002708943678541,3,4,0.8186296877632977,GCA069ACB_TISSUE01
26,0.8887480862332934,5,1,0.7997719285996882,GCA069ACB_TISSUE01
6,0.8884320750915468,1,1,0.7992602657770251,GCA069ACB_TISSUE01
14,0.8793863320511605,2,4,0.7847363968536818,GCA069ACB_TISSUE01
5,0.8692164294892276,1,0,0.7686850535833347,GCA069ACB_TISSUE01
28,0.8659237823211064,5,3,0.7635498997531109,GCA069ACB_TISSUE01
0,0.8493464605209897,0,0,0.7381426566554121,GCA069ACB_TISSUE01
20,0.9386671379028517,2,4,0.8844229472439831,GCA069ACB_TISSUE02
21,0.9380345130586958,2,5,0.8833003751943418,GCA069ACB_TISSUE02
11,0.9348809285571342,1,3,0.8777243348865174,GCA069ACB_TISSUE02
