,DICE_min,h,w,IOU_min,Tissue_name
12,0.9318414390369039,1,4,0.8723811923547352,GCA069ACB_TISSUE02
41,0.9296681211887621,5,1,0.8685793066551435,GCA069ACB_TISSUE02
3,0.9222541402379071,0,3,0.8557250597478426,GCA069ACB_TISSUE02
22,0.9215803560699992,2,6,0.8545656241122942,GCA069ACB_TISSUE02
2,0.917179608203558,0,2,0.8470283854572787,GCA069ACB_TISSUE02
51,0.9123441495110315,6,3,0.8388169374539532,GCA069ACB_TISSUE02
30,0.9121108062509586,3,6,0.8384225263858701,GCA069ACB_TISSUE02
10,0.9099863031162863,1,2,0.8348393288248437,GCA069ACB_TISSUE02
59,0.9089457957387995,7,3,0.8330894947188124,GCA069ACB_TISSUE02
50,0.903013094884943,6,2,0.8231758197607937,GCA069ACB_TISSUE02
31,0.902288370568851,3,7,0.8219721340079367,GCA069ACB_TISSUE02
43,0.9014969263222575,5,3,0.8206594482290189,GCA069ACB_TISSUE02
52,0.8933281252906273,6,4,0.80722041077011,GCA069ACB_TISSUE02
44,0.885677322918761,5,4,0.794812257826995,GCA069ACB_TISSUE02
23,0.884386994264259,2,7,0.7927363608324111,GCA069ACB_TISSUE02
53,0.8801911983830754,6,5,0.7860191821247892,GCA069ACB_TISSUE02
60,0.8773305205211129,7,4,0.7814682206630807,GCA069ACB_TISSUE02
38,0.8767106213837654,4,6,0.7804850985627352,GCA069ACB_TISSUE02
42,0.8749046458117327,5,2,0.7776271073867851,GCA069ACB_TISSUE02
1,0.8693254184861717,0,1,0.7688555422571334,GCA069ACB_TISSUE02
40,0.8685517965994279,5,0,0.7676460963824876,GCA069ACB_TISSUE02
39,0.8631499393610854,4,7,0.7592469484287062,GCA069ACB_TISSUE02
58,0.8617053742571948,7,2,0.7570143570649652,GCA069ACB_TISSUE02
25,0.8384893890900323,3,1,0.721895591150158,GCA069TIB_TISSUE01
10,0.8035785128243459,1,2,0.671651689172954,GCA069TIB_TISSUE01
53,0.6840243310668097,6,5,0.5197849376815009,GCA069TIB_TISSUE01
8,0.7705904744327685,1,2,0.6267972212735454,GCA069TIB_TISSUE02
13,0.761690329007794,2,1,0.6151048859995443,GCA069TIB_TISSUE02
19,0.7587081078042024,3,1,0.6112245738285432,GCA069TIB_TISSUE02
14,0.7412149041646677,2,2,0.5888335559556304,GCA069TIB_TISSUE02
20,0.6897460320936021,3,2,0.5264216319800348,GCA069TIB_TISSUE02
21,0.6647181026900798,3,3,0.4978110644870055,GCA069TIB_TISSUE02
7,0.5840502424035321,1,1,0.412479496020353,GCA069TIB_TISSUE02
26,0.5312427798058501,4,2,0.36169543373249047,GCA069TIB_TISSUE02
27,0.3329891932533582,4,3,0.19975227029465026,GCA069TIB_TISSUE02
68,0.899968018194094,5,8,0.8181289572296162,GCA071ACB_TISSUE01
93,0.8854778286370456,7,9,0.7944909947858558,GCA071ACB_TISSUE01
17,0.8537573097891237,1,5,0.7448311924519723,GCA071ACB_TISSUE01
81,0.8517504290619718,6,9,0.7417816218874437,GCA071ACB_TISSUE01
105,0.8494992037304235,8,9,0.7383734165894271,GCA071ACB_TISSUE01
69,0.8290700903068847,5,9,0.7080441651064945,GCA071ACB_TISSUE01
70,0.8156893984655799,5,10,0.6887461763905126,GCA071ACB_TISSUE01
80,0.7860337638117931,6,8,0.6474922781047847,GCA071ACB_TISSUE01
104,0.7751967416364348,8,8,0.6329153162705979,GCA071ACB_TISSUE01
56,0.7266484483602705,4,8,0.5706581559700034,GCA071ACB_TISSUE01
94,0.719341924154523,7,10,0.561697097548556,GCA071ACB_TISSUE01
92,0.6993606543213432,7,8,0.5377052882837601,GCA071ACB_TISSUE01
82,0.6931183575884813,6,10,0.5303604665450093,GCA071ACB_TISSUE01
103,0.6610172035586471,8,7,0.49367116987271875,GCA071ACB_TISSUE01
106,0.5845778549254447,8,10,0.4130060116408966,GCA071ACB_TISSUE01
117,0.5760028768678102,9,9,0.4044972194893541,GCA071ACB_TISSUE01
79,0.5708717786890336,6,7,0.39945455570484933,GCA071ACB_TISSUE01
83,0.559617107346288,6,11,0.38851968473137627,GCA071ACB_TISSUE01
91,0.54849986495624,7,7,0.37788481841216215,GCA071ACB_TISSUE01
6,0.9391373125578669,1,2,0.8852581240483057,GCA071ACB_TISSUE02
10,0.934970332821771,2,2,0.8778819610715191,GCA071ACB_TISSUE02
11,0.8938651461935522,2,3,0.8080978039138448,GCA071ACB_TISSUE02
9,0.8609046661420535,2,1,0.7557792930520553,GCA071ACB_TISSUE02
14,0.8570558684731314,3,2,0.7498668087373468,GCA071ACB_TISSUE02
15,0.8560688133318468,3,3,0.7483569145669132,GCA071ACB_TISSUE02
13,0.8137573554765445,3,1,0.6859957018350591,GCA071ACB_TISSUE02
7,0.9114486917430071,1,2,0.8373043005225307,GCA071ACB_TISSUE03
16,0.9097043975539926,3,1,0.8343649149030132,GCA071ACB_TISSUE03
6,0.9024783542620594,1,1,0.822287521860455,GCA071ACB_TISSUE03
8,0.9000362158464448,1,3,0.8182416810559279,GCA071ACB_TISSUE03
3,0.8995994481182814,0,3,0.8175199899526939,GCA071ACB_TISSUE03
23,0.8915965704703432,4,3,0.8043971596593543,GCA071ACB_TISSUE03
9,0.8874979394684006,1,4,0.7977494792632721,GCA071ACB_TISSUE03
14,0.8810126445724888,2,4,0.78733029493072,GCA071ACB_TISSUE03
28,0.874763407791815,5,3,0.7774039822817735,GCA071ACB_TISSUE03
21,0.8694635348286042,4,1,0.769071641308614,GCA071ACB_TISSUE03
19,0.8642202130574224,3,4,0.7609047308227148,GCA071ACB_TISSUE03
24,0.8639446669613714,4,4,0.7604776297740378,GCA071ACB_TISSUE03
22,0.8441070629533695,4,2,0.7302640546538065,GCA071ACB_TISSUE03
10,0.6996227333576731,2,0,0.5380151985924456,GCA071ACB_TISSUE03
29,0.9046442967191666,4,1,0.8258908900638907,GCA071TIA
10,0.8994229063437461,1,3,0.8172284445388114,GCA071TIA
39,0.895863415332077,5,4,0.8113701038187358,GCA071TIA
11,0.8739409942443932,1,4,0.7761058610405255,GCA071TIA
9,0.8716625946953053,1,2,0.7725194526010796,GCA071TIA
3,0.8706045570672926,0,3,0.7708589250250459,GCA071TIA
40,0.8241674901117394,5,5,0.7009225235574241,GCA071TIA
17,0.8235186689674158,2,3,0.699984476799664,GCA071TIA
18,0.8159945077929518,2,4,0.6891813536032635,GCA071TIA
23,0.8084619398374452,3,2,0.6785028249346491,GCA071TIA
28,0.8052580753416996,4,0,0.6740016891698227,GCA071TIA
38,0.7941355497619099,5,3,0.6585612086044272,GCA071TIA
22,0.7925984332907539,3,1,0.6564497306815398,GCA071TIA
16,0.7857524999238823,2,2,0.6471106589674887,GCA071TIA
30,0.7220480715886898,4,2,0.5650040940791146,GCA071TIA
26,0.6871634401263238,3,5,0.5234188787311378,GCA071TIA
37,0.6683249807952591,5,2,0.5018679266014724,GCA071TIA
25,0.6314082032053505,3,4,0.4613561214411474,GCA071TIA
24,0.6236979673602582,3,3,0.45316940073394213,GCA071TIA
14,0.910524243763307,1,4,0.8357453009404019,GCA072ACB_TISSUE01
25,0.8999488500921663,2,5,0.8180972768107805,GCA072ACB_TISSUE01
23,0.8987726554769558,2,3,0.8161554105489688,GCA072ACB_TISSUE01
35,0.8942397934566191,3,5,0.8087104131301875,GCA072ACB_TISSUE01
26,0.8885499635335037,2,6,0.7994511083542425,GCA072ACB_TISSUE01
22,0.8807805270921514,2,2,0.7869596164224985,GCA072ACB_TISSUE01
33,0.8796506135554892,3,3,0.7851574019664597,GCA072ACB_TISSUE01
38,0.8787403110222786,3,8,0.7837081094241839,GCA072ACB_TISSUE01
15,0.8760627586508302,1,5,0.7794587868618073,GCA072ACB_TISSUE01
34,0.8746276401383895,3,4,0.77718955195056,GCA072ACB_TISSUE01
13,0.8723494793567604,1,3,0.7735991456458965,GCA072ACB_TISSUE01
49,0.8630459536910801,4,9,0.7590860479303693,GCA072ACB_TISSUE01
24,0.8622581961637873,2,4,0.7578680797843975,GCA072ACB_TISSUE01
28,0.8541792180340342,2,8,0.7454736652345041,GCA072ACB_TISSUE01
16,0.8491477678587782,1,6,0.7378425693096095,GCA072ACB_TISSUE01
39,0.8440865939290695,3,9,0.730233414973711,GCA072ACB_TISSUE01
31,0.8422446788005618,3,1,0.7274807235850089,GCA072ACB_TISSUE01
36,0.8387023501659855,3,6,0.7222113557931181,GCA072ACB_TISSUE01
59,0.8369717346307733,5,9,0.7196486616471525,GCA072ACB_TISSUE01
27,0.8367981961668546,2,7,0.7193921066914787,GCA072ACB_TISSUE01
44,0.8335760843981366,4,4,0.714642483961776,GCA072ACB_TISSUE01
40,0.8274770552971759,4,0,0.7057235502601614,GCA072ACB_TISSUE01
18,0.8239184590431001,1,8,0.7005623592839763,GCA072ACB_TISSUE01
48,0.8208839061163319,4,8,0.6961858212049139,GCA072ACB_TISSUE01
45,0.8207064272160276,4,5,0.69593055211738,GCA072ACB_TISSUE01
4,0.8180643530593523,0,4,0.6921395045295833,GCA072ACB_TISSUE01
43,0.8177667331852354,4,3,0.6917135189305794,GCA072ACB_TISSUE01
88,0.8148338241905907,8,8,0.6875270665179927,GCA072ACB_TISSUE01
58,0.8130196294028713,5,8,0.684947830260975,GCA072ACB_TISSUE01
30,0.8041963746034003,3,0,0.6725154176854757,GCA072ACB_TISSUE01
41,0.797749077857647,4,1,0.6635462391129606,GCA072ACB_TISSUE01
37,0.7968514653008304,3,7,0.6623051454740556,GCA072ACB_TISSUE01
12,0.7961332680813158,1,2,0.6613134551965433,GCA072ACB_TISSUE01
32,0.793843505441861,3,2,0.6581596244131456,GCA072ACB_TISSUE01
52,0.7785735156441005,5,2,0.6374296984846117,GCA072ACB_TISSUE01
69,0.7727777752023155,6,9,0.6296966919171569,GCA072ACB_TISSUE01
98,0.7670940294619859,9,8,0.6221837251118529,GCA072ACB_TISSUE01
54,0.7513034787925809,5,4,0.6016701945049969,GCA072ACB_TISSUE01
29,0.7486314953562868,2,9,0.5982502297110598,GCA072ACB_TISSUE01
68,0.7394719864391343,6,8,0.5866366938963933,GCA072ACB_TISSUE01
79,0.7368253853152877,7,9,0.5833123756205305,GCA072ACB_TISSUE01
89,0.5892957064863965,8,9,0.41773156089193825,GCA072ACB_TISSUE01
20,0.9236638207062079,1,8,0.8581555079865886,GCA072ACB_TISSUE02
6,0.8961995521844721,0,6,0.811921714616163,GCA072ACB_TISSUE02
13,0.8949700313448716,1,1,0.8099056647613737,GCA072ACB_TISSUE02
14,0.8946299159367127,1,2,0.809348768195441,GCA072ACB_TISSUE02
17,0.8940510828876725,1,5,0.8084017887752647,GCA072ACB_TISSUE02
5,0.894008107518633,0,5,0.8083315199651834,GCA072ACB_TISSUE02
18,0.8936126556386863,1,6,0.8076851748105849,GCA072ACB_TISSUE02
21,0.887615162196501,1,9,0.7979389254794005,GCA072ACB_TISSUE02
7,0.8863373159993229,0,7,0.7958759225147783,GCA072ACB_TISSUE02
25,0.8847782984425911,2,1,0.7933653884308357,GCA072ACB_TISSUE02
15,0.8840769623778163,1,3,0.7922382929396399,GCA072ACB_TISSUE02
41,0.8794441433590913,3,5,0.7848284743211299,GCA072ACB_TISSUE02
26,0.8778940354502744,2,2,0.7823628633883544,GCA072ACB_TISSUE02
29,0.8753973851245049,2,5,0.7784059662900752,GCA072ACB_TISSUE02
9,0.8685932003862936,0,9,0.7677107833211321,GCA072ACB_TISSUE02
16,0.8676827123285067,1,4,0.7662893799959697,GCA072ACB_TISSUE02
19,0.8673086460188886,1,7,0.7657060707407428,GCA072ACB_TISSUE02
4,0.859739806280096,0,4,0.7539856350464554,GCA072ACB_TISSUE02
3,0.8572105604138255,0,3,0.7501036767755199,GCA072ACB_TISSUE02
27,0.8484163460774634,2,3,0.7367387885261992,GCA072ACB_TISSUE02
10,0.8483454583386612,0,10,0.7366318871237776,GCA072ACB_TISSUE02
53,0.8431599440620802,4,5,0.7288474666262136,GCA072ACB_TISSUE02
24,0.8365102411603025,2,0,0.7189665700147814,GCA072ACB_TISSUE02
39,0.8343844967396118,3,3,0.7158316738287391,GCA072ACB_TISSUE02
8,0.8286666939171158,0,8,0.7074559304458802,GCA072ACB_TISSUE02
52,0.8267168832602158,4,4,0.7046184092015436,GCA072ACB_TISSUE02
12,0.8241614849756486,1,0,0.700913836759787,GCA072ACB_TISSUE02
38,0.813139283594622,3,2,0.6851176994528566,GCA072ACB_TISSUE02
37,0.8095893822422102,3,1,0.6800925413174832,GCA072ACB_TISSUE02
54,0.8074171212757029,4,6,0.6770322932519331,GCA072ACB_TISSUE02
33,0.8001630021815329,2,9,0.6668930893416207,GCA072ACB_TISSUE02
40,0.7840754043099643,3,4,0.6448388387645062,GCA072ACB_TISSUE02
51,0.7592720599480043,4,3,0.6119569290236062,GCA072ACB_TISSUE02
55,0.7383597619914096,4,7,0.5852379622552766,GCA072ACB_TISSUE02
51,0.9183235746453424,4,3,0.8489817778401193,GCA072TIB_TISSUE01
39,0.9130715449182704,3,3,0.840047512464483,GCA072TIB_TISSUE01
55,0.9122328421085973,4,7,0.8386287777587694,GCA072TIB_TISSUE01
52,0.9086994991948185,4,4,0.832675783181959,GCA072TIB_TISSUE01
53,0.8961783894864006,4,5,0.8118869760752518,GCA072TIB_TISSUE01
56,0.8932149276142664,4,8,0.807035575289152,GCA072TIB_TISSUE01
40,0.8919476588265853,3,4,0.8049688861105811,GCA072TIB_TISSUE01
44,0.8849609344207281,3,8,0.7936591297462602,GCA072TIB_TISSUE01
45,0.8802523176465814,3,9,0.7861166685306459,GCA072TIB_TISSUE01
54,0.8685994784476146,4,6,0.7677205922230056,GCA072TIB_TISSUE01
38,0.8660724575900512,3,2,0.7637811281568996,GCA072TIB_TISSUE01
65,0.8529346920237932,5,5,0.7435798869452735,GCA072TIB_TISSUE01
32,0.8501564694985159,2,8,0.739367093823396,GCA072TIB_TISSUE01
27,0.8477276905267028,2,3,0.7357008265816944,GCA072TIB_TISSUE01
41,0.8450336627105849,3,5,0.7316522009583329,GCA072TIB_TISSUE01
64,0.8430984546814222,5,4,0.7287555782884333,GCA072TIB_TISSUE01
66,0.8424154837182232,5,6,0.7277356183236682,GCA072TIB_TISSUE01
28,0.8145556306672055,2,4,0.6871310470061645,GCA072TIB_TISSUE01
46,0.802460649739285,3,10,0.6700912580155151,GCA072TIB_TISSUE01
26,0.8022205317994171,2,2,0.6697564560900249,GCA072TIB_TISSUE01
43,0.7662783357245337,3,7,0.6211111938076809,GCA072TIB_TISSUE01
63,0.743995888542607,5,3,0.592351475409836,GCA072TIB_TISSUE01
33,0.7233662223598463,2,9,0.5666199931643532,GCA072TIB_TISSUE01
25,0.6872840437243735,2,1,0.5235588403102086,GCA072TIB_TISSUE01
101,0.6801162396688127,8,5,0.5152849516825306,GCA072TIB_TISSUE01
83,0.6535738941381336,6,11,0.48541386065874864,GCA072TIB_TISSUE01
29,0.6448041432167653,2,5,0.4758014422707186,GCA072TIB_TISSUE01
47,0.6411271391220823,3,11,0.4718080385444402,GCA072TIB_TISSUE01
113,0.6375945165661763,9,5,0.4679917427806993,GCA072TIB_TISSUE01
103,0.6221221211842985,8,7,0.451507445434147,GCA072TIB_TISSUE01
71,0.6156491289944704,5,11,0.4447204403803285,GCA072TIB_TISSUE01
42,0.5650445771112765,3,6,0.3937715193784762,GCA072TIB_TISSUE01
37,0.5493797891846905,3,1,0.3787206224542508,GCA072TIB_TISSUE01
24,0.899303421987069,2,2,0.8170311782113162,GCA072TIB_TISSUE02
50,0.8979295448484192,4,6,0.8147660076096644,GCA072TIB_TISSUE02
61,0.8967549061630197,5,6,0.8128338038143387,GCA072TIB_TISSUE02
51,0.8923337743263103,4,7,0.805598070649475,GCA072TIB_TISSUE02
74,0.8875287928936432,6,8,0.7977993382877655,GCA072TIB_TISSUE02
62,0.887014506496188,5,7,0.7969686143022041,GCA072TIB_TISSUE02
75,0.8848439582909259,6,9,0.7934709809174554,GCA072TIB_TISSUE02
65,0.8824214170063089,5,10,0.7895833281294103,GCA072TIB_TISSUE02
23,0.8793498219599559,2,1,0.7846782512433013,GCA072TIB_TISSUE02
64,0.8792655916457041,5,9,0.784544121329184,GCA072TIB_TISSUE02
13,0.8783191912546962,1,2,0.7830384405320899,GCA072TIB_TISSUE02
53,0.8742402870833247,4,9,0.7765780539599331,GCA072TIB_TISSUE02
39,0.8721087043217262,3,6,0.7732205290202819,GCA072TIB_TISSUE02
58,0.8715339082545582,5,3,0.7723173205023143,GCA072TIB_TISSUE02
73,0.8688795561113563,6,7,0.7681582989732395,GCA072TIB_TISSUE02
40,0.8682978451099985,3,7,0.7672494404628882,GCA072TIB_TISSUE02
82,0.86741668678296,7,5,0.7658745071204617,GCA072TIB_TISSUE02
60,0.8669761650419122,5,5,0.7651879318796351,GCA072TIB_TISSUE02
25,0.8655656838018522,2,3,0.7629932129544877,GCA072TIB_TISSUE02
63,0.8640095768183725,5,8,0.760578222480517,GCA072TIB_TISSUE02
52,0.8621436061384521,4,8,0.7576910502849941,GCA072TIB_TISSUE02
15,0.8557617947478221,1,4,0.7478878006518069,GCA072TIB_TISSUE02
42,0.8541891937168947,3,9,0.7454888617151364,GCA072TIB_TISSUE02
14,0.851055908930945,1,3,0.7407287400199475,GCA072TIB_TISSUE02
54,0.8477481187675429,4,10,0.7357315987722972,GCA072TIB_TISSUE02
86,0.8474214870202239,7,9,0.7352397059957105,GCA072TIB_TISSUE02
85,0.8472038833408807,7,8,0.734912159312381,GCA072TIB_TISSUE02
84,0.8439336415246209,7,7,0.730004497871213,GCA072TIB_TISSUE02
43,0.8436398408440774,3,10,0.7295649492627684,GCA072TIB_TISSUE02
28,0.8377684475519652,2,6,0.7208274855276081,GCA072TIB_TISSUE02
47,0.8361658441698786,4,3,0.7184579005360702,GCA072TIB_TISSUE02
70,0.8349457973538936,6,4,0.7166583283915371,GCA072TIB_TISSUE02
57,0.8335097396882294,5,2,0.7145449628233118,GCA072TIB_TISSUE02
12,0.8325009176506494,1,1,0.7130634449625548,GCA072TIB_TISSUE02
35,0.8318152272382184,3,2,0.7120579266511666,GCA072TIB_TISSUE02
41,0.830719102997145,3,8,0.7104529845022489,GCA072TIB_TISSUE02
16,0.8297061898110031,1,5,0.7089725525225238,GCA072TIB_TISSUE02
76,0.8280056756813995,6,10,0.7064929057252929,GCA072TIB_TISSUE02
32,0.8216852176061408,2,10,0.6973393102451015,GCA072TIB_TISSUE02
96,0.8195516609870876,8,8,0.6942715186268926,GCA072TIB_TISSUE02
83,0.8054145926326433,7,6,0.6742210206699466,GCA072TIB_TISSUE02
30,0.8019313133685981,2,8,0.6693533704009748,GCA072TIB_TISSUE02
26,0.7978846525440104,2,4,0.6637338540203785,GCA072TIB_TISSUE02
95,0.7945599301129708,8,7,0.6591451121974359,GCA072TIB_TISSUE02
34,0.7875232931327638,3,1,0.6495162246601378,GCA072TIB_TISSUE02
17,0.7764479354667425,1,6,0.6345851214455106,GCA072TIB_TISSUE02
29,0.7732039719475257,2,7,0.6302628589163096,GCA072TIB_TISSUE02
31,0.7703320296408303,2,9,0.6264553100588824,GCA072TIB_TISSUE02
4,0.7679806736663944,0,4,0.6233511579334113,GCA072TIB_TISSUE02
87,0.7641620857088698,7,10,0.6183352014630406,GCA072TIB_TISSUE02
22,0.7496858962738859,2,0,0.5995980482342119,GCA072TIB_TISSUE02
27,0.6672518458587123,2,5,0.5006586156471805,GCA072TIB_TISSUE02
138,0.6077500714812418,9,12,0.43652368661123864,GCA075ACB_TISSUE01
151,0.6001898224575261,10,11,0.42876515122302344,GCA075ACB_TISSUE01
18,0.5881064676429519,1,4,0.41653740467324984,GCA075ACB_TISSUE01
46,0.5738768435044865,3,4,0.4024034256022488,GCA075ACB_TISSUE01
118,0.5694246878457405,8,6,0.39803894489711367,GCA075ACB_TISSUE01
108,0.5443733471363253,7,10,0.3739786888797152,GCA075ACB_TISSUE01
43,0.5385254719880931,3,1,0.3684809154495956,GCA075ACB_TISSUE01
32,0.5374200020150074,2,4,0.36744656890933486,GCA075ACB_TISSUE01
119,0.5323093365708593,8,7,0.36268496477804224,GCA075ACB_TISSUE01
3,0.5309114740424644,0,3,0.3613883470340375,GCA075ACB_TISSUE01
117,0.5306885258035268,8,5,0.36118177467697654,GCA075ACB_TISSUE01
29,0.52259191695417,2,1,0.35372211845273815,GCA075ACB_TISSUE01
110,0.5212194562110052,7,12,0.35246572481641825,GCA075ACB_TISSUE01
17,0.5080255830427888,1,3,0.34050555912270625,GCA075ACB_TISSUE01
124,0.5070751569430882,8,12,0.3396521662167544,GCA075ACB_TISSUE01
30,0.5061685971197676,2,2,0.3388391729775074,GCA075ACB_TISSUE01
137,0.5019043063496432,9,11,0.33502820178774484,GCA075ACB_TISSUE01
109,0.49516226970542127,7,11,0.3290469528621475,GCA075ACB_TISSUE01
15,0.47981612788914685,1,1,0.31563032386529505,GCA075ACB_TISSUE01
16,0.4671276207519056,1,2,0.3047400599527022,GCA075ACB_TISSUE01
104,0.45689614838766696,7,6,0.2960890467030283,GCA075ACB_TISSUE01
125,0.45428530222178365,8,13,0.2938998399088561,GCA075ACB_TISSUE01
136,0.4528815775138904,9,10,0.2927258643757482,GCA075ACB_TISSUE01
133,0.4425673159147724,9,7,0.2841646515044844,GCA075ACB_TISSUE01
135,0.43660529530992886,9,9,0.27926747736841157,GCA075ACB_TISSUE01
88,0.42399386587499754,6,4,0.26903059365971227,GCA075ACB_TISSUE01
31,0.4232039217438276,2,3,0.2683948340433862,GCA075ACB_TISSUE01
89,0.40048016917218515,6,5,0.25037524477887896,GCA075ACB_TISSUE01
44,0.3590564190252821,3,2,0.21881094706010745,GCA075ACB_TISSUE01
49,0.9133045995800342,5,4,0.8404421323832577,GCA075ACB_TISSUE02
96,0.9091512965594043,10,6,0.8334348234470023,GCA075ACB_TISSUE02
47,0.9077973407515028,5,2,0.8311619945845246,GCA075ACB_TISSUE02
85,0.9074502777280057,9,4,0.830580301499626,GCA075ACB_TISSUE02
48,0.9053130487601443,5,3,0.8270063397894492,GCA075ACB_TISSUE02
76,0.9040166983264846,8,4,0.8248453210428418,GCA075ACB_TISSUE02
68,0.9034399568209288,7,5,0.8238855340759436,GCA075ACB_TISSUE02
77,0.8987231191703227,8,5,0.8160737184396759,GCA075ACB_TISSUE02
50,0.897110841386425,5,5,0.813418859347724,GCA075ACB_TISSUE02
67,0.896513781096935,7,4,0.8124376777338701,GCA075ACB_TISSUE02
75,0.8964643373794527,8,3,0.8123564717887181,GCA075ACB_TISSUE02
58,0.8918407581581149,6,4,0.8047947663873428,GCA075ACB_TISSUE02
78,0.889114096649446,8,6,0.8003649105347184,GCA075ACB_TISSUE02
40,0.8889838827548164,4,4,0.8001539032206784,GCA075ACB_TISSUE02
57,0.8888143152516319,6,3,0.7998791988153691,GCA075ACB_TISSUE02
86,0.887455936525928,9,5,0.7976816071039242,GCA075ACB_TISSUE02
66,0.8830079341660929,7,3,0.7905230137036562,GCA075ACB_TISSUE02
59,0.8822535033639084,6,5,0.7893144876938466,GCA075ACB_TISSUE02
95,0.8821176983121605,10,5,0.7890971142313382,GCA075ACB_TISSUE02
39,0.8783819661402057,4,3,0.7831382338936307,GCA075ACB_TISSUE02
87,0.8781420418068813,9,6,0.7827568859262986,GCA075ACB_TISSUE02
69,0.8727267899990375,7,6,0.7741927886304443,GCA075ACB_TISSUE02
97,0.8714379700848068,10,7,0.7721666572020784,GCA075ACB_TISSUE02
